Date,SoilMoist,LST,Rainfall,NDVI,SAVI,VCI,TCI,VHI,Week,Rainfall_Anom,SoilMoist_Anom,LST_Anom,NDVI_Anom,SAVI_Anom,County
2001-03-25,0.18007704554570916,34.00128172543338,6.647500414585511,0.41203867442094877,0.27296116270654763,53.45235218585956,41.74912264945102,51.9044154934786,6.5,-0.5119111838655157,0.02211419621615046,-1.0513151192470325,-0.0009484625785089601,0.001323451590265386,Kitui
2001-04-01,0.1823414079666926,34.36886012649873,8.812725503280324,0.3982289056224803,0.2656506423686399,51.88840905132142,42.34277101565175,51.259475883765255,7.5,0.21276504337500687,0.022934830750552828,-1.0157077326367976,-0.0035777835773461073,-5.761861927573257e-06,Kitui
2001-04-08,0.18371827469670077,34.52700315970802,10.96230124332226,0.39580753062263857,0.26634353600545313,51.64767810493145,42.999052957242576,51.25394450780228,8.5,0.6144908756293463,0.021891127986685282,-1.0406501553292327,-0.002013834399341191,0.001794415001219037,Kitui
2001-04-15,0.18423694899382706,34.669563890706534,12.651460257187066,0.4029883194015127,0.2734108517073318,52.28209588990239,43.45549890367828,51.68674321878684,9.5,0.4295091827261411,0.019230686074127094,-0.9663041015969908,0.0026814895590290405,0.005750488991487289,Kitui
2001-04-22,0.18393847457506626,34.83579704684023,13.672922291816079,0.4162765522134022,0.28412782299232237,53.214471703497026,43.85418099995874,52.22515042857878,10.5,-0.28679211441784586,0.015388565473444112,-0.7720445327680506,0.008451455343163777,0.01026603750036525,Kitui
2001-04-29,0.18310227740079296,34.80076320934368,14.167235239218948,0.43133276148917354,0.29541922245770463,53.89804963431343,44.46530103681028,52.55321031022206,11.5,-1.1886964199499797,0.010974710298809467,-0.6927267883980424,0.012847041640072837,0.01365736197583009,Kitui
2001-05-06,0.1823104301546262,34.46914979528196,14.386138098483597,0.4447691591456329,0.3048831088124266,53.992027875461524,45.403351657476456,52.49159595223234,12.5,-1.9055855103990638,0.006843898805883576,-0.8412273749374423,0.014346899176672376,0.014886208152213587,Kitui
2001-05-13,0.18221872810359663,34.14320435767957,14.551393801482869,0.4552319730687433,0.31160187578132176,53.46638643899281,46.54364780831556,52.06019627753906,13.5,-2.170784819421261,0.0039029070683866615,-0.9434717089837831,0.013135847159468037,0.014122201219165373,Kitui
2001-05-20,0.1831746713855834,34.212136902690595,14.750949470613358,0.4634357474705703,0.3161128058690579,52.588840559243884,47.511025021652564,51.479421536079165,14.5,-1.915065116439837,0.0027070287851785266,-0.6471590243613138,0.011046934508958078,0.012660439020777242,Kitui
2001-05-27,0.1851309073731999,34.73020883437517,14.87141478450502,0.4704088170821801,0.3190797269063777,51.78604832768499,47.971290251333016,51.02278705293884,15.5,-1.2938654770979416,0.003379546795899637,0.08323792627775539,0.010036639584746496,0.011718836656880468,Kitui
2001-06-03,0.18752364061479662,35.128049509664436,14.600236654996293,0.4761719830149034,0.3205622113463464,51.415267064359846,47.85673549729247,50.81886061600367,16.5,-0.6633562497442138,0.005546188243947679,0.7003775493398331,0.011014761972721387,0.011825687729094916,Kitui
2001-06-10,0.1891757033608568,34.413863373126496,13.577303124103887,0.47925250441074935,0.3197540924417108,51.511360304006224,47.20695250472655,50.732630238655396,17.5,-0.40218740203840725,0.008263740384226413,0.2518767453526145,0.013312012918668173,0.01256021157395159,Kitui
2001-06-17,0.18874006672576824,31.558950362942625,11.6131583405429,0.47714331482323785,0.3152501124782188,51.669634734891524,46.12760301641065,50.36234309798044,18.5,-0.7273399840856708,0.01040008405381603,-2.2474539626295305,0.014976991582166624,0.012734307684808975,Kitui
2001-06-24,0.18561230432159156,26.541155089270806,8.89578842542373,0.4672733641351521,0.30570916974427365,51.266988941875894,44.845608836686445,49.25655565894766,19.5,-1.5213792090193607,0.01139110625744034,-6.823833911116526,0.013664239687762878,0.01102597052754837,Kitui
2001-07-01,0.18017166572702092,20.4297617660641,6.028697733572933,0.44849135621821884,0.2906904967564418,49.86274245712678,43.71795876783967,47.21755881950286,20.5,-2.3180110749823215,0.011393531484163694,-12.475330885584244,0.008053770340800043,0.006769838605209813,Kitui
2001-07-08,0.17361890459831578,14.81525777776738,3.621417008295404,0.42201103091404185,0.27130130633991884,47.557599438273975,43.042231003075706,44.476136079738836,21.5,-2.6922483154750747,0.011128782461144154,-17.702706301403143,-0.0012817803397050288,0.0005292830846287654,Kitui
2001-07-15,0.16738634057291205,11.17461526863255,2.02790553650714,0.39138875634165293,0.24986710219414568,44.90997514906405,42.86768523298361,41.58247938836711,22.5,-2.4920851555409937,0.011444748957529803,-21.10624342953929,-0.011927555354614506,-0.006221557453553572,Kitui
2001-07-22,0.1624743219769996,10.017335885377358,1.2418962970655338,0.36129608839258803,0.22928502608566148,42.658651587680126,42.928836133547286,39.17141019786444,23.5,-1.8739086853203766,0.012792348587526389,-22.193422048025,-0.020737197264197666,-0.01166101300714989,Kitui
2001-07-29,0.15899542455243335,10.67434096870864,1.0354981921864235,0.3356823709524778,0.21189876989045073,41.37618434837484,42.92032141213409,37.69933692174538,24.5,-1.1225607247054004,0.014894688506437806,-21.579099120472836,-0.025435051711717897,-0.014577256835026845,Kitui
2001-08-05,0.15639083921191388,11.74084799050127,1.1208075593004745,0.3164379664207015,0.1987954938404037,41.270977312660726,42.69657142440061,37.291850959984366,25.5,-0.49890402798521155,0.0169863216800751,-20.584109973455863,-0.025594189741511387,-0.014842203254545279,Kitui
2001-08-12,0.15411432170356423,11.967402666136707,1.2850317572989571,0.3032205488307933,0.1897032041542159,42.11991236304831,42.291502322465185,37.717516543023486,26.5,-0.11861091170152623,0.01850877084342736,-20.389941542206895,-0.022524091532135502,-0.013330885172317076,Kitui
2001-08-19,0.1517544130767385,11.117064106643857,1.4277960611405922,0.2946419555244872,0.18393104466630553,43.36885518940471,41.783882942056,38.585478036360875,27.5,0.03604462235744802,0.019233816380608764,-21.237719801214975,-0.01805442881294603,-0.01097285281682457,Kitui
2001-08-26,0.14915043486734658,10.154965231475009,1.524134798430337,0.2891606087494487,0.18059659473969822,44.428785977350465,41.34723213242176,39.51431201802233,28.5,0.04315937957195013,0.01922648519716046,-22.247362957216378,-0.013739279751845232,-0.00858108927738197,Kitui
2001-09-02,0.1463596878691911,10.591611743855415,1.5557513385372257,0.28571587773955787,0.17897332499621635,44.95745917488809,41.28997535033605,40.28726618648255,29.5,-0.041983272261157965,0.018709459194450814,-22.012057019489635,-0.010281614144181753,-0.006575933920999813,Kitui
2001-09-09,0.14337927683542553,13.50368129257233,1.4802486761412827,0.2837345035866092,0.17852674682282618,44.96045062580541,41.86507501346746,40.915578849064595,30.5,-0.2146826489148385,0.017745962324637942,-19.517410414568563,-0.00757189824948618,-0.005001875933050018,Kitui
2001-09-16,0.14012742884684645,18.839543187208303,1.2560819114441322,0.28269183672644976,0.1786800094810315,44.69795990865355,43.20407178934615,41.55633761009673,31.5,-0.49327661726934097,0.016251558014171188,-14.802311064538403,-0.005267989827003518,-0.0038375068291633258,Kitui
2001-09-23,0.13686635923034618,25.396909524294312,0.9066714403306676,0.28208014478306626,0.17892285801456578,44.48681433352946,45.13735086444853,42.38516177374013,32.5,-0.8573420054759996,0.014457155388393969,-8.984232071291883,-0.003064553694767098,-0.0030185286688676227,Kitui
2001-09-30,0.13393101917286918,31.454155988712035,0.5945139247406507,0.281724169166486,0.1790113741911621,44.54062943157438,47.13509221909117,43.5033480483356,33.5,-1.1853029418546932,0.012663143123446782,-3.6784277926055147,-0.0006067401952934796,-0.002365716999408613,Kitui
2001-10-07,0.13150773890611675,35.59895926135792,0.68453624693852,0.2814792252051299,0.17902371570509426,44.8714713007601,48.71658396470994,44.842016523134525,34.5,-1.2128207404388416,0.010947759840599371,-0.212652305423329,0.0020769331358495013,-0.0016421659996148595,Kitui
2001-10-14,0.12992153216118948,37.426402704420674,1.713653190431847,0.28141943875402053,0.17904234837079572,45.28297185147372,49.79639456090167,46.098099072491095,35.5,-0.5742925142969869,0.009404913128461543,1.039962908073493,0.004672963585077729,-0.0009414551749922345,Kitui
2001-10-21,0.12963287868239437,37.56830006297262,4.195171882085071,0.2814690540599519,0.17925630179193083,45.433740463953434,50.48126346858107,46.875886042024376,36.5,1.0258512943183646,0.008152164594531816,0.7063342273241707,0.006205223093877897,-0.0006513914329261775,Kitui
2001-10-28,0.13100605133649065,37.18574918307026,8.22726171506407,0.28157659412179975,0.17990571608546876,44.99026703320114,50.78202483976486,46.94083579318743,37.5,3.496689437145928,0.0071797508513263735,-0.05595250493220109,0.005252326594701137,-0.0014730586348853242,Kitui
2001-11-04,0.13407938878958808,37.03272094983735,13.087530251330614,0.28198882486691085,0.18142558361129646,43.88921517585237,50.57633901985313,46.37503504061676,38.5,6.072728380652316,0.006263608783468685,-0.45908207647843763,0.000501529116507309,-0.004093307961857365,Kitui
2001-11-11,0.1383849820721507,37.12556017769287,17.345774641821336,0.2833976690313212,0.18443247917332717,42.50632285834059,49.712427936262635,45.546201257486395,39.5,7.520782924477476,0.004926940175715758,-0.42436429939835624,-0.008649295646577473,-0.008858173948601432,Kitui
2001-11-18,0.14298284668332104,37.16269090637482,20.28076790822486,0.28704502967052814,0.18970108822950724,41.5069498604809,48.18655670331943,44.96580402578877,40.5,7.4431931645378215,0.002548306978198203,-0.21635194394630494,-0.021534462294732437,-0.015429787184257915,Kitui
2001-11-25,0.1473634197085417,36.71594392173478,21.987886801325775,0.29422646529760965,0.19786286327213762,41.54098207885335,46.110940662821356,45.10142084003673,41.5,6.224457722406627,-0.0008813405733558386,-0.26626289497908484,-0.036459499467980376,-0.022892224538753666,Kitui
