Date,SoilMoist,LST,Rainfall,NDVI,SAVI,VCI,TCI,VHI,Week,Rainfall_Anom,SoilMoist_Anom,LST_Anom,NDVI_Anom,SAVI_Anom,County
2009-10-11,0.128258373922802,39.45930663305872,0.6563083926007495,0.2140796907794403,0.13504843884127968,6.842571663541702,70.07252331160622,19.52189561755414,35.5,-0.2734856945248633,-0.02988884236240987,2.1981329784396686,-0.03441211881520114,-0.02531966835846164,Kajiado
2009-10-18,0.13007270927187903,40.00026566952542,1.135632734877105,0.21211367531521028,0.1347657445387398,7.340804790546957,69.40297267179942,20.049288221420223,36.5,-0.35623200726835935,-0.028041854643582564,2.094083956394251,-0.03305567802610163,-0.024107310171807877,Kajiado
2009-10-25,0.1326796107603493,40.47424369527031,1.7303578540551505,0.210643455247243,0.13460011959736992,8.028503498104557,68.98406158643718,20.549748641991425,37.5,-0.6260328867436565,-0.026479793459193556,2.0610969258774934,-0.03235965508045315,-0.02324730520654274,Kajiado
2009-11-01,0.13577049821590578,40.92694803960379,2.4830691721722205,0.21032414864706842,0.13488852173105978,8.832045581764303,69.17498262466707,20.882265279776785,38.5,-1.0613631897248077,-0.025685495553724985,2.1281782175658894,-0.03218336145343725,-0.022712447448763145,Kajiado
2009-11-08,0.13906368367335445,41.33678215785914,3.472209387855687,0.21179832385444838,0.1360010468255444,9.685151351924178,70.04008494343223,21.022601265436855,39.5,-1.5386560223022678,-0.02587081898331954,2.2951325960288687,-0.032422388354107566,-0.02247678074375566,Kajiado
2009-11-15,0.14243370661315488,41.630980365570615,4.788858897555998,0.21527367676382234,0.13809020001234515,10.54477516694171,71.27861612409544,21.05209288932873,40.5,-1.88981487250627,-0.026854776970432707,2.51836748156637,-0.03320096818722678,-0.022610363357983276,Kajiado
2009-11-22,0.14599435928718477,41.756687121807296,6.471585332694286,0.2205391720134555,0.14107701090277888,11.423589718928413,72.33651884447312,21.135669877373072,41.5,-1.998747828043357,-0.02813752682575618,2.737688429571176,-0.034688149675450204,-0.023171763284027563,Kajiado
2009-11-29,0.1499651292750868,41.676395267568836,8.494254210358095,0.22712194208261496,0.14469510380960773,12.36995444229686,72.69625829580681,21.468598651868415,42.5,-1.8142171685112392,-0.029170331555314778,2.888940009577912,-0.036951152098542966,-0.024172142430522053,Kajiado
2009-12-06,0.15469265268095797,41.3973704978546,10.896804693070884,0.23458094701048712,0.1486563049425507,13.439349599614046,72.15210491007396,22.18572769073556,43.5,-1.23072011396138,-0.029400264350694982,2.9259957446221985,-0.0398840092085399,-0.02557370961560988,Kajiado
2009-12-13,0.16057793503362341,40.95599484319279,13.676183860166688,0.2428045250459985,0.15287965329273093,14.693295856872858,70.74055307973093,23.353660270778757,44.5,-0.1798427792648194,-0.028288875487303234,2.841472601980404,-0.043081873982646124,-0.02718214521584575,Kajiado
2009-12-20,0.16794747820016723,40.36803032924357,16.63137435319716,0.25217429801016294,0.1576447979185057,16.22693014248355,68.54046022654363,25.038722510031835,45.5,1.274592052096567,-0.0253934963522801,2.643396154912731,-0.04574579493084679,-0.02855255776954937,Kajiado
2009-12-27,0.1767517352020336,39.63479651828977,19.449951533741814,0.263540917810826,0.16359387849763554,18.183205832361278,65.65039866775759,27.290749113758235,46.5,2.9877588339637087,-0.02058884518644619,2.3321510052403966,-0.046732903118815776,-0.028986803266408654,Kajiado
2010-01-03,0.18616907992221363,38.77794107909758,21.690224678337568,0.27784840360224766,0.17148782990796663,20.678613308335613,62.30857990093461,30.046239382117857,47.5,4.5629682028884675,-0.014641929589697797,1.9096757046127824,-0.04504345831645345,-0.027844574962635944,Kajiado
2010-01-10,0.19483590756892957,37.877067357171555,23.08480287213823,0.2953850500684006,0.18168621068379556,23.686568161700492,59.02690256318261,33.025184387102954,44.083333333333336,5.657458399160653,-0.008435118697141294,1.4066033430137193,-0.0397683928532172,-0.024450185587971452,Kajiado
2010-01-17,0.20160175259008173,37.07662708547538,23.54741708554182,0.3151231027277032,0.19368702418359354,26.99228825632254,56.290723522626934,35.880939215975935,40.666666666666664,6.26234339061264,-0.0028933829705672814,0.8994364683760464,-0.03159856240460602,-0.01912691097134654,Kajiado
2010-01-24,0.20614144830311407,36.49768243088912,23.232333959392296,0.3348778852335666,0.20613860813864635,30.305446544913895,54.23847528528714,38.393321805227224,37.25,6.481958275328837,0.0017935588656264531,0.46503238481543124,-0.021826589489880394,-0.012683824453784414,Kajiado
2010-01-31,0.20905549479196026,36.181005579025715,22.419875083300983,0.35238311636786257,0.21754247027530224,33.438080887427844,52.709663050678984,40.54260574660546,33.833333333333336,6.505838407592672,0.006069930619159521,0.12868042725306358,-0.011861461794839906,-0.006080620288830799,Kajiado
2010-02-07,0.21134677439617186,36.097604956472075,21.379508652478652,0.366434352616277,0.22703830295785057,36.38305167784872,51.4088356666446,42.48869512814973,30.416666666666668,6.479362966686415,0.010552954507508414,-0.11644472079878909,-0.0023548596768023095,0.00017808063742122404,Kajiado
2010-02-14,0.21382831386170964,36.08994324264309,20.33962609088872,0.37714254108348405,0.23461833183475292,39.27179842878923,50.02721014398537,44.4650233660081,27.0,6.484737615972063,0.015590213566435243,-0.37227222822116285,0.006865913005883943,0.006130721713382238,Kajiado
2010-02-21,0.21702965101745875,36.00613284734842,19.486285210940288,0.3856136210705481,0.24096024943537475,42.29256986644281,48.31437260350747,46.67298567495615,23.583333333333332,6.543730829903236,0.021298356688816647,-0.7380212903944887,0.016462362069983024,0.01218710330651717,Kajiado
2010-02-28,0.2209299452208994,35.7690656867511,18.795075585599655,0.393360132251478,0.24705088838896094,45.5873375720091,46.156035910623245,49.202466218718804,20.166666666666668,6.48243877529256,0.027306484112886453,-1.240337419542201,0.02718200777646547,0.018881566392785022,Kajiado
2010-03-07,0.2250084113431636,35.39057568866914,18.206587116323313,0.4016276187407672,0.25371867638275025,49.15211213471853,43.698502228139326,51.9581991713985,16.75,6.136748210640675,0.032796227966902056,-1.8266279100240166,0.03935211761449009,0.026536836962113747,Kajiado
2010-03-14,0.22847161874784958,34.99171817970691,17.854163363391205,0.4108006656018186,0.2611752616212991,52.804364546711476,41.372248971857765,54.658959068558225,13.333333333333334,5.513997816307415,0.03671239053746423,-2.364840946924543,0.05240678641806634,0.034888039700091016,Kajiado
2010-03-21,0.23090228405253757,34.67220903725043,18.00072416005771,0.42035750009347866,0.2689742757290893,56.25095387618347,39.63653495031502,56.96921858373785,9.916666666666666,4.772140117952719,0.03840270168972824,-2.728831864850621,0.06499133354433435,0.04312207898071758,Kajiado
2010-03-28,0.23266205642505308,34.474306007037136,18.88620046598178,0.42933977159070885,0.2763514117303762,59.22391195732357,38.69317179031136,58.6718325054733,6.5,4.225048207406494,0.038299847533542604,-2.849236916539823,0.0757160216335823,0.05037949646098966,Kajiado
2010-04-04,0.23452108117371698,34.33697654545795,20.276337156821647,0.43685980662695495,0.28260799565775957,61.565030484186984,38.35773464998161,59.775297954857855,7.5,3.887613757612872,0.03703518587002312,-2.791269698394465,0.08300245995788288,0.05561143236611343,Kajiado
2010-04-11,0.2372922788683615,34.16039780572651,21.84256990366481,0.4426334287081013,0.2874350621021678,63.251893058005464,38.28783879169794,60.41175455094364,8.5,3.5610835082866203,0.03564770685609244,-2.653349746049171,0.08654827751021908,0.05852436662832577,Kajiado
2010-04-18,0.24143764373838328,33.850910114304234,23.363597997116916,0.4471822875981845,0.29106999821770657,64.37458113344618,38.177589650537335,60.75304504255854,9.5,3.2807583689593485,0.03484019059690924,-2.525431403950139,0.08668137493482386,0.05923019250114897,Kajiado
2010-04-25,0.24677014143319398,33.390469758978305,24.70642391361075,0.4515556550811623,0.294112709422172,65.06280327677217,37.8827315775636,60.947305993624894,10.5,3.139060677136376,0.03477621453219851,-2.439565926278552,0.08449225502460078,0.058330905100001,Kajiado
2010-05-02,0.2526773443837207,32.81633648266877,25.80856963097148,0.45679525283799366,0.29718916286303615,65.42663331148532,37.46268970207078,61.063354002463996,11.5,3.228429755833622,0.035276263387511005,-2.3982073408243383,0.08133923360961945,0.05661424566505548,Kajiado
2010-05-09,0.2583786709766605,32.25220550877457,26.602254088340032,0.46325692264882806,0.3005644946989862,65.49782548034558,37.08387281250198,61.07488995396466,12.5,3.5754711104247927,0.036052466456059994,-2.334506334310043,0.07817961279144929,0.0546978430494098,Kajiado
2010-05-16,0.26299739723275334,31.7837207693382,26.86960628548043,0.47014964379458424,0.30384836078181215,65.21415515568295,36.90840330064204,60.9083348385736,13.5,3.9929568759745826,0.036649727478846934,-2.2235720265081182,0.07510595614207084,0.0527202809264057,Kajiado
2010-05-23,0.26576491042445055,31.43478581010709,26.31469059437484,0.47569653723113764,0.3060736954284487,64.45030027393771,37.06582384930079,60.46131704063064,14.5,4.163447614468726,0.03657454510650371,-2.0614852433967195,0.07140354193059296,0.050346832071020337,Kajiado
2010-05-30,0.26632263772005776,31.207162094560616,24.847512044354588,0.4778084902791499,0.3060772423393213,63.08865886891174,37.66453059858976,59.600543548614326,15.5,3.929317457550843,0.03561793671475587,-1.817028243617328,0.06606884574584435,0.047040534189881855,Kajiado
2010-06-06,0.2647243865409961,31.076765503890993,22.539587620383685,0.4749569311654372,0.3030077655966554,61.081689343439905,38.75318730116049,58.20637250489339,16.5,3.301355475941211,0.033974477666619506,-1.445368783772463,0.05850845502265636,0.04244836821841166,Kajiado
2010-06-13,0.26104122003925007,31.031518408792447,19.51131286705021,0.46664962627926493,0.29658821651858563,58.48728806568818,40.3602790087119,56.22180226826197,17.5,2.3418132791844903,0.0318343324438716,-0.9136369300426891,0.04881143787059269,0.03653776835186272,Kajiado
2010-06-20,0.25542928243994306,31.059366356486077,16.0547217824413,0.4534913234106952,0.2871487922010977,55.479449701217455,42.44524524840296,53.73246846900523,18.5,1.2658076374532998,0.029360891538841822,-0.2506683635139992,0.03774195997185025,0.029609557050488348,Kajiado
2010-06-27,0.24845822144453203,31.134420195776823,12.752005284156835,0.43697474796243524,0.27555361933894695,52.36720877856637,44.719524520591285,51.075200630596754,19.5,0.544526158071058,0.026989578211600907,0.44694004809441523,0.026647795315686076,0.02233053389683178,Kajiado
2010-07-04,0.24081546745142532,31.208950206832593,10.078305913722025,0.4189951367549525,0.26302762072570324,49.51410015909903,46.66930181901748,48.74558522747432,20.5,0.5008318322301569,0.025131973058249102,1.0099612824451327,0.017147149285508784,0.01569399434224547,Kajiado
2010-07-11,0.23291797148542795,31.269806243549258,8.08062171784913,0.4010887054313346,0.2506999080581555,47.17481352067889,47.77169018198068,47.14858133292447,21.5,0.9878360331950318,0.02385873122393091,1.3168703094450391,0.010413405068819973,0.010604169755744887,Kajiado
2010-07-18,0.22487527661762766,31.294296185629324,6.538407905233903,0.38383648259197134,0.23914019359728433,45.40138563949413,47.94222270907395,46.32609341628777,22.5,1.5953562811057482,0.02289537818159366,1.3216546742037438,0.006624591009396788,0.007415806970598733,Kajiado
2010-07-25,0.21655222754337963,31.306628598615422,5.155286268346626,0.36700844523967363,0.22836066196955987,44.07236197970254,47.4702999215288,46.02366054075296,23.5,1.9086175107001966,0.021688656471449425,1.1236675752751426,0.005035587404487965,0.00588184769723307,Kajiado
2010-08-01,0.2078634441148933,31.33843868215561,3.7368680074729106,0.3501512992642431,0.21811163426355742,43.01477871745055,46.809615873923356,45.90805577279027,24.5,1.6980060758249635,0.019720635817161256,0.8750073319229964,0.004496225210782134,0.005381974092162849,Kajiado
2010-08-08,0.1990107930062034,31.443494802608598,2.3432423682797117,0.33322723583576985,0.20826217126566457,42.11360830464627,46.37064633750554,45.730580948369095,25.5,1.073914765643878,0.016851611521792095,0.7302702207158589,0.004096859278499949,0.005294228913628941,Kajiado
2010-08-15,0.19053063688666969,31.654273198212934,1.239920077500521,0.3168413686005976,0.1989694468465939,41.3501957593272,46.34198584415046,45.40555328302781,26.5,0.40998292170826667,0.013476566983353228,0.7325793895112523,0.0035226585158532053,0.005232981780742082,Kajiado
2010-08-22,0.18293067382468034,31.97411924475144,0.545391707460352,0.30212790028949993,0.19072057001607753,40.76886792628097,46.68319517313345,44.98169150010873,27.5,-0.05394841143243393,0.010122864076200352,0.7925172296464668,0.0030863487262836886,0.005181965920693983,Kajiado
2010-08-29,0.17648301500737343,32.40239645202949,0.20688639888846475,0.29015833420448267,0.18408114950461196,40.428227400618965,47.18070074826745,44.620082236093,28.5,-0.2784924953223913,0.007159557707183309,0.7852381871563899,0.0032949304669344487,0.00534690281520291,Kajiado
2010-09-05,0.17123044267241105,32.91142714448544,0.10515245583666706,0.28126162290682344,0.17929977439284775,40.34228769309605,47.54155611613015,44.500422366116055,29.5,-0.32486118961741894,0.004768300657130918,0.5945781357282174,0.004306925469098788,0.005863411621483895,Kajiado
2010-09-12,0.16706368985524622,33.45927612325303,0.1249642345095399,0.2748427381713482,0.17612356789695974,40.46111852018024,47.44124990630084,44.76201646187576,30.5,-0.2771624747665248,0.0029939148455603672,0.1866675687665588,0.005785395010995391,0.006654783007988253,Kajiado
2010-09-19,0.1637542474632939,34.034055852342284,0.19134399073193095,0.2698415377034055,0.17398823512424821,40.66751109283512,46.80531672356786,45.3510078337898,31.5,-0.21011830432159062,0.001719530245957987,-0.3429062867208736,0.007174967681898348,0.0075005807362080205,Kajiado
2010-09-26,0.1610698415183681,34.63912905342463,0.27302293647339615,0.265306309420327,0.17227985714533112,40.86202072826762,45.92281924410779,46.03784715886483,32.5,-0.18102909379394838,0.0007517097410981444,-0.836973733187563,0.008016913070705102,0.008146235328330073,Kajiado
2010-10-03,0.15891235651796937,35.285301392595066,0.3774006795826259,0.2607391074378512,0.1705757076707828,41.03153796772279,45.33108181314882,46.55371415238852,33.5,-0.2307755893148349,-5.757423948631971e-05,-1.1672036099030016,0.00814909984497858,0.00844053604971913,Kajiado
2010-10-10,0.15742030412368385,35.997592312709756,0.5501701780037516,0.2562012179141047,0.1687671951828368,41.20694272913388,45.36996202692027,46.75860152937045,34.5,-0.3796239091218494,-0.0007269121615281135,-1.2635813419093065,0.007709408319463232,0.00839908798309544,Kajiado
