Date,SoilMoist,LST,Rainfall,NDVI,SAVI,VCI,TCI,VHI,Week,Rainfall_Anom,SoilMoist_Anom,LST_Anom,NDVI_Anom,SAVI_Anom,County
2005-11-20,0.15733472877661628,38.41592730150095,3.7060169890411885,0.23143127211450013,0.16831755598744583,29.451915245592627,56.609061637846196,35.26832470254394,40.5,-7.276362376011337,-0.03280981968611329,1.5265237827032727,-0.056181705219078025,-0.04071838595523603,Mandera
2005-11-27,0.16036201594743588,38.2076852164197,4.088984210509479,0.2355416261034721,0.17017631060059893,26.379609328465794,57.97154988218532,33.160357214757354,41.5,-7.924693816109585,-0.03644892050233125,1.764919073570539,-0.06791778044978057,-0.048592245629241464,Mandera
2005-12-04,0.1619829452518741,38.19146677808538,4.321200631448379,0.23951952629615217,0.17169089251647943,23.39193982895821,60.164927219587476,30.7098151689367,42.5,-8.421946816290932,-0.040366372141109365,2.1740649258024565,-0.07890349462889297,-0.055881765890032215,Mandera
2005-12-11,0.1621270387615735,38.35952859853351,4.4253930422669026,0.24304617463352343,0.17265256447834657,20.404674354727764,63.16223698311091,27.873118717491995,43.5,-8.73264156887714,-0.04423252472312769,2.712528340390009,-0.08881358865675976,-0.06243028375958449,Mandera
2005-12-18,0.1610277545812425,38.6164664021075,4.42054236851687,0.24607138771007256,0.17306231092115,17.44014638085658,66.51204859614452,24.87052269479497,44.5,-8.785872969292878,-0.04733083735990631,3.2515400762213056,-0.09728731818578178,-0.06802298208446596,Mandera
2005-12-25,0.1590789325071181,38.85386149315341,4.315423215358261,0.24871631521400675,0.1730690621308029,14.64377341928113,69.47060825312421,22.13209657379331,45.5,-8.495163441084365,-0.04883164739858217,3.6620708574032084,-0.103796941494536,-0.07230486852786132,Mandera
2006-01-01,0.15656564124144787,38.98420780911838,4.107343275961401,0.25113499666281386,0.17283358411956265,12.225994184688977,71.42289015404747,20.06855331684042,46.5,-7.788239757448604,-0.048057760343366875,3.802053710541387,-0.10709383654472016,-0.07446927981045366,Mandera
2006-01-08,0.15345734243051276,39.01243807943863,3.7810522701002367,0.2533163776364982,0.17242046878719552,10.390616072362665,72.29572416155956,18.826563368757004,43.166666666666664,-6.77136899184825,-0.045089193147166584,3.626275760440434,-0.1070818113895622,-0.07447041555196,Mandera
2006-01-15,0.14947063373787356,39.05416854585364,3.3156323169759414,0.2549378469579226,0.17171763876428467,9.228662097112,72.47146844575666,18.27614498385726,39.833333333333336,-5.57466649074578,-0.04090042738434397,3.265954256778549,-0.10360096249124646,-0.07215743122185414,Mandera
2006-01-22,0.14437983090502574,39.22585426297641,2.7192503928910554,0.2553824832577401,0.17049516023183367,8.644675361136132,72.43085239407513,18.145861012309854,36.5,-4.370389705177672,-0.03658245048097156,2.8661939323687,-0.0971089801462648,-0.0677652977352118,Mandera
