Date,SoilMoist,LST,Rainfall,NDVI,SAVI,VCI,TCI,VHI,Week,Rainfall_Anom,SoilMoist_Anom,LST_Anom,NDVI_Anom,SAVI_Anom,County
2001-03-25,0.14670488677967478,38.926732352058664,6.880855138018037,0.2640617158287283,0.1780423725337096,31.370731929581112,67.80117583225591,32.98016501262688,6.5,0.7134229042155337,0.0012581233229676224,1.271593936240114,-0.02065937688889474,-0.011796632208380937,Samburu
2001-04-01,0.1493656795459282,38.810835705682344,9.948933850558422,0.26324943771971293,0.1786414370561086,32.745545307540795,65.32871903976147,34.72653941077435,7.5,2.39488797848522,0.0028269770041761517,0.9583228384522133,-0.01611209165603981,-0.008955590203920267,Samburu
2001-04-08,0.1527019098838113,38.72565890035431,12.658121485633588,0.2654726502842736,0.1811572467571598,34.53194559631143,63.734564859395306,36.237746565242965,8.5,3.2806537794943718,0.003443434438435431,0.7729819252794149,-0.010740022287382781,-0.005481127092989343,Samburu
2001-04-15,0.1560719560584394,38.61453337458499,14.648074311231044,0.2704493931150403,0.1853864014639017,36.50047028646592,62.758564205646024,37.53353986230092,9.5,3.1354581786317515,0.002527324135130483,0.670171225926941,-0.005126909701613881,-0.0017220508361199354,Samburu
2001-04-22,0.1590206788977881,38.461346168925814,15.892456682193734,0.2772782828256882,0.19071115407633318,38.21019222597105,62.28428513897553,38.481422506391105,10.5,2.2059186106944373,-8.018026166736515e-05,0.6486403235708759,-0.0005533880133333594,0.0014729350188951624,Samburu
2001-04-29,0.16152105883690746,38.37854302112605,16.646191598802012,0.28506168828190837,0.1964927410054302,39.2986704032835,62.160908601277704,39.00649678277531,11.5,1.0341218653305566,-0.003912273983975606,0.805618496542588,0.0019262285828141646,0.0033688945525566457,Samburu
2001-05-06,0.16369123257361667,38.241857740059366,17.142917302883387,0.29318380513498543,0.2022632166301878,39.675712534444415,62.28484792909067,39.127392745277,12.5,0.08101844352971736,-0.008205636946970898,0.9846023950172439,0.0019909527283184284,0.003705007176888176,Samburu
2001-05-13,0.165780388381959,37.887284146805136,17.548240960495633,0.30124573458710424,0.20771546423547682,39.53075502160187,62.50678198164106,38.97417353063525,13.5,-0.3833984398171084,-0.012044643820024147,0.9748745997570799,3.318948027709878e-05,0.0027060872702893077,Samburu
2001-05-20,0.1679879272996989,37.52265463959319,17.91773665906996,0.30885987918065066,0.21256610774046159,39.1983026614515,62.623003872604635,38.76163871426751,14.5,-0.332303757331081,-0.014764913398181048,0.9420680107421978,-0.0031911467027431056,0.000839172958825273,Samburu
2001-05-27,0.17034704187570546,37.455200431586086,18.13192909924628,0.31556390616138325,0.21649815360588823,38.94858152459579,62.4301526447374,38.69549809543065,15.5,0.005266612025566442,-0.01613887476261663,1.1712655259961255,-0.006896862815435313,-0.0014143129833429056,Samburu
